Date,Price,Open,High,Low,Vol.,Change %
"Aug 05, 2021",3276.13,3283.25,3296.17,3273.33,680.94M,-0.13%
"Aug 04, 2021",3280.38,3246.65,3283.14,3237.55,632.24M,1.34%
"Aug 03, 2021",3237.14,3221.57,3237.14,3213.2,653.51M,0.44%
"Aug 02, 2021",3223.04,3218.42,3223.04,3194,561.00M,0.65%
"Jul 30, 2021",3202.32,3234.37,3234.66,3202.32,687.86M,-1.24%
"Jul 29, 2021",3242.65,3248.49,3252.26,3232.5,694.82M,0.18%
"Jul 28, 2021",3236.86,3226.06,3243.21,3210.9,868.60M,0.13%
"Jul 27, 2021",3232.53,3244.43,3252.85,3230.75,991.94M,0.24%
"Jul 26, 2021",3224.95,3265.99,3265.99,3224.95,826.07M,-0.91%
"Jul 23, 2021",3254.42,3253.44,3264.01,3246.09,805.05M,0.13%
"Jul 22, 2021",3250.21,3235.17,3253.75,3235.17,712.98M,1.07%
"Jul 21, 2021",3215.91,3251.13,3252.25,3215.91,990.33M,-0.52%
"Jul 20, 2021",3232.7,3223.24,3234.8,3214.42,979.67M,-0.35%
"Jul 19, 2021",3244.04,3258.87,3258.87,3236.39,1.10B,-1.00%
"Jul 16, 2021",3276.91,3282.89,3282.89,3259.32,1.07B,-0.28%
"Jul 15, 2021",3286.22,3269.33,3286.58,3263.09,1.17B,0.66%
"Jul 14, 2021",3264.81,3270.09,3270.09,3250.45,908.95M,-0.20%
"Jul 13, 2021",3271.38,3253.24,3273.9,3253.24,1.15B,0.77%
"Jul 12, 2021",3246.47,3227.51,3251.45,3227.51,1.14B,0.89%
"Jul 09, 2021",3217.95,3245.52,3245.52,3188.8,1.31B,-1.07%
"Jul 08, 2021",3252.68,3287.68,3295.71,3252.41,1.52B,-0.99%
"Jul 07, 2021",3285.34,3303.59,3303.59,3277.66,1.15B,-0.60%
"Jul 06, 2021",3305.21,3295.44,3313.51,3295.44,1.03B,0.36%
"Jul 05, 2021",3293.21,3285.29,3298.93,3285.29,850.41M,0.35%
"Jul 02, 2021",3281.78,3282.81,3295.68,3278.19,1.02B,-0.01%
"Jul 01, 2021",3282.06,3297.92,3300.12,3278.1,1.16B,-0.44%
"Jun 30, 2021",3296.68,3288.63,3305.73,3288.63,1.61B,0.30%
"Jun 29, 2021",3286.68,3305.26,3305.42,3276.63,1.21B,-0.46%
"Jun 28, 2021",3301.89,3305.46,3311.69,3291.3,1.43B,-0.03%
"Jun 25, 2021",3302.84,3289.18,3316.08,3289.18,1.20B,0.51%
"Jun 24, 2021",3286.1,3281.47,3292.27,3277.85,1.30B,0.30%
"Jun 23, 2021",3276.19,3265.73,3281.88,3263.07,1.07B,0.38%
"Jun 22, 2021",3263.88,3245.79,3267.63,3245.79,1.67B,0.71%
"Jun 21, 2021",3240.79,3264.18,3264.18,3225.56,1.51B,-0.83%
"Jun 18, 2021",3267.93,3265.68,3275.76,3262.58,1.63B,0.09%
"Jun 17, 2021",3264.96,3276.2,3276.2,3251.32,1.85B,-0.42%
"Jun 16, 2021",3278.68,3259.06,3281.96,3256.68,2.35B,0.62%
"Jun 15, 2021",3258.63,3253.17,3262.8,3247.9,1.73B,0.20%
"Jun 14, 2021",3252.13,3249.6,3254.49,3238.51,1.66B,0.09%
